Country,Population,Rate,Net,Density,World_Share,Region,Year,Inc
China,1438207241,0.39,5540090,153,18.47,East Asia & Pacific,2020,0.184385544
India,1377233523,0.99,13586631,464,17.7,South Asia,2020,0.1765684
United States of America,330610570,0.59,1937734,36,4.25,North America,2020,0.042385971
Indonesia,272931713,1.07,2898047,151,3.51,East Asia & Pacific,2020,0.034991245
Pakistan,219992900,2,4327022,287,2.83,South Asia,2020,0.028204218
Brazil,212253150,0.72,1509890,25,2.73,Latin America & Caribbean,2020,0.027211942
Nigeria,205052107,2.58,5175990,226,2.64,Sub-Saharan Africa,2020,0.026288732
Bangladesh,164354176,1.01,1643222,1265,2.11,South Asia,2020,0.021071048
Russia,145922010,0.04,62206,9,1.87,Europe & Central Asia,2020,0.01870795
Mexico,128655589,1.06,1357224,66,1.65,Latin America & Caribbean,2020,0.016494306
Japan,126552765,-0.3,-383840,347,1.62,East Asia & Pacific,2020,0.016224713
Ethiopia,114357494,2.57,2884858,115,1.47,Sub-Saharan Africa,2020,0.014661217
Philippines,109280343,1.35,1464463,368,1.41,East Asia & Pacific,2020,0.0140103
Egypt,101930276,1.94,1946331,103,1.31,Middle East & North Africa,2020,0.013067984
Vietnam,97160127,0.91,876473,314,1.25,East Asia & Pacific,2020,0.012456427
Dominican Republic of Congo,88972681,3.19,2770836,40,1.15,Sub-Saharan Africa,2020,0.011406754
Turkey,84153250,1.09,909452,110,1.08,Europe & Central Asia,2020,0.010788878
Iran,83771587,1.3,1079043,52,1.08,Middle East & North Africa,2020,0.010739947
Germany,83730223,0.32,266897,240,1.07,Europe & Central Asia,2020,0.010734644
Thailand,69764925,0.25,174396,137,0.9,East Asia & Pacific,2020,0.008944221
United Kingdom,67814098,0.53,355839,281,0.87,Europe & Central Asia,2020,0.008694115
France,65244628,0.22,143783,119,0.84,Europe & Central Asia,2020,0.008364696
Italy,60479424,-0.15,-88249,206,0.78,Europe & Central Asia,2020,0.007753772
Tanzania,59368313,2.98,1728755,67,0.77,Sub-Saharan Africa,2020,0.007611322
South Africa,59154802,1.28,750420,49,0.76,Sub-Saharan Africa,2020,0.007583949
Myanmar,54335948,0.67,364380,83,0.7,East Asia & Pacific,2020,0.006966147
Kenya,53521116,2.28,1197323,94,0.69,Sub-Saharan Africa,2020,0.006861682
South Korea,51260395,0.09,43877,527,0.66,East Asia & Pacific,2020,0.006571846
Colombia,50771878,1.08,543448,46,0.65,Latin America & Caribbean,2020,0.006509215
Spain,46751175,0.04,18002,94,0.6,Europe & Central Asia,2020,0.00599374
Uganda,45427637,3.32,1471413,229,0.59,Sub-Saharan Africa,2020,0.005824056
Argentina,45111229,0.93,415097,17,0.58,Latin America & Caribbean,2020,0.005783491
Ukraine,43785122,-0.59,-259876,75,0.56,Sub-Saharan Africa,2020,0.005613477
Algeria,43685618,1.85,797990,18,0.56,Europe & Central Asia,2020,0.00560072
Sudan,43632213,2.42,1036022,25,0.56,Middle East & North Africa,2020,0.005593873
Iraq,40031626,2.32,912710,93,0.52,Middle East & North Africa,2020,0.00513226
Afghanistan,38742911,2.33,886592,60,0.5,South Asia,2020,0.00496704
Poland,37854825,-0.11,-41157,124,0.49,Europe & Central Asia,2020,0.004853183
Canada,37674770,0.89,331107,4,0.48,North America,2020,0.004830099
Morocco,36820713,1.2,438791,83,0.47,Middle East & North Africa,2020,0.004720604
Saudi Arabia,34701377,1.59,545343,16,0.45,Middle East & North Africa,2020,0.004448894
